country,year,co2,co2_per_capita,temp_anomaly
Canada,1990,458.015,16.482,-1.26879252
Canada,1991,449.756,15.973,-0.611696055
Canada,1992,463.497,16.263,-1.2116589708333334
Canada,1993,464.16,16.1,-0.66951158
Canada,1994,478.631,16.421,-0.5840321025000001
Canada,1995,491.414,16.681,-0.4881201166666667
Canada,1996,507.729,17.057,-1.1263246746666666
Canada,1997,522.022,17.367,-0.4706737790666666
Canada,1998,529.636,17.462,1.185975385
Canada,1999,543.866,17.774,0.4718208299999999
Canada,2000,566.261,18.33,-0.3468694825
Canada,2001,558.36,17.888,0.6702458625
Canada,2002,563.729,17.876,-0.5711768249999998
Canada,2003,580.792,18.243,-0.0178794891666666
Canada,2004,579.163,18.024,-1.064650725833333
Canada,2005,572.855,17.659,0.5351941158333333
Canada,2006,568.173,17.344,1.427814701666667
Canada,2007,591.889,17.886,-0.2471550991666666
Canada,2008,575.77,17.213,-0.4477346106666666
Canada,2009,542.811,16.047,-0.2717134658333333
Canada,2010,554.734,16.222,2.010591745
Canada,2011,563.32,16.302,0.3061202533333333
Canada,2012,564.221,16.156,0.7627803548333333
Canada,2013,568.854,16.118,-0.2770495366666667
Canada,2014,566.469,15.897,-0.4101943408333333
Canada,2015,565.644,15.729,0.1893162474999999
Canada,2016,558.872,15.373,1.0524258908333337
Canada,2017,569.603,15.475,0.4862112808333333
Canada,2018,579.079,15.527,-0.5078126216666666
Canada,2019,582.025,15.404,0.0808839047749999
Canada,2020,526.582,13.795,0.144869491925
Canada,2021,540.312,14.051,0.9466177958333332
Canada,2022,550.612,14.183,0.1267473649999999
Canada,2023,549.299,13.977,1.894486065
United States,1990,5120.957,20.211,-0.1246359299999999
United States,1991,5062.957,19.741,-0.19216484
United States,1992,5174.228,19.931,-0.670087525
United States,1993,5272.851,20.077,-0.7977660368583334
United States,1994,5364.279,20.206,-0.3289867358333333
United States,1995,5425.259,20.228,-0.3065296325
United States,1996,5612.983,20.723,-1.0040850341666665
United States,1997,5688.142,20.8,-0.7033884533333333
United States,1998,5733.281,20.764,0.2708753048166666
United States,1999,5803.918,20.819,-0.2125871076666666
United States,2000,6010.136,21.352,-0.15495859525
United States,2001,5907.74,20.781,-0.0560843964166666
United States,2002,5946.308,20.713,0.0248890108333333
United States,2003,6010.146,20.731,-0.0474024000833333
United States,2004,6112.655,20.878,-0.0488597974999999
United States,2005,6132.183,20.737,0.26188056675
United States,2006,6052.686,20.261,0.373909459
United States,2007,6130.123,20.309,0.2723058899999999
United States,2008,5915.119,19.396,-0.6015445993333334
United States,2009,5480.726,17.793,-0.4850556375000001
United States,2010,5679.715,18.259,-0.080416875
United States,2011,5546.116,17.657,-0.0421663625
United States,2012,5344.086,16.852,0.7975628375000001
United States,2013,5480.157,17.12,-0.3958143795
United States,2014,5528.681,17.111,-0.1438764073333333
United States,2015,5376.473,16.486,0.7483077775
United States,2016,5252.932,15.958,1.2241220933333337
United States,2017,5212.162,15.69,0.8679148533333332
United States,2018,5377.797,16.05,0.4912038466666666
United States,2019,5262.145,15.578,0.2577717203333333
United States,2020,4714.628,13.89,0.6810333175
United States,2021,5032.213,14.794,0.627021815
United States,2022,5078.871,14.871,0.2750572841666667
United States,2023,4911.391,14.299,0.7615602966666666
